1, 1    , T5&T6 , T3&T4 , 15&16  
1, 2    , 15&16 , 3&4 , 27&28  
1, 3    , 9&10 , 5&6 , 1&2  
1, 4    , 25&26 , 49&50 , 5&6  
1, 5    , 51&52 , 47&48 , 3&4  
1, 6    , T1&T2 , 11&12 , 45&46  
1, 7    , T1&T2 , T5&T6 , 13&14  
1, 8    , 49&50 , 11&12 , T7&T8  
1, 9    , T7&T8 , 45&46 , 51&52  
1, 10   , 45&46 , T7&T8 , 47&48  
1, 11   , 15&16 , 21&22 , T7&T8  
1, 12   , 47&48 , 3&4 , 11&12  
1, 13   , 23&24 , 1&2 , 11&12  
1, 14   , 7&8 , 45&46 , 47&48  
1, 15   , 1&2 , 51&52 , T5&T6  
1, 16   , 5&6 , 47&48 , 3&4  
1, 17   , 21&22 , 49&50 , 25&26  
1, 18   , 51&52 , 27&28 , 23&24  
1, 19   , 27&28 , 9&10 , 5&6  
1, 20   , 3&4 , 23&24 , 7&8  
1, 21   , 9&10 , 7&8 , T3&T4  
1, 22   , 11&12 , 23&24 , 49&50  
1, 23   , T3&T4 , T5&T6 , 9&10  
1, 24   , T5&T6 , 51&52 , T1&T2  
1, 25   , 5&6 , 21&22 , 25&26  
1, 26   , 11&12 , 9&10 , 45&46  
1, 27   , 45&46 , 13&14 , 21&22  
1, 28   , 47&48 , T1&T2 , 7&8  
1, 29   , 1&2 , 13&14 , 27&28  
1, 30   , 3&4 , 7&8 , 49&50  
1, 31   , 13&14 , T3&T4 , 21&22  
1, 32   , 21&22 , 5&6 , 51&52  
1, 33   , T3&T4 , 1&2 , T5&T6  
1, 34   , 49&50 , T7&T8 , T1&T2  
1, 35   , 13&14 , 15&16 , 1&2  
1, 36   , T7&T8 , 15&16 , 13&14  
1, 37   , 25&26 , T1&T2 , 15&16  
1, 38   , 7&8 , 27&28 , 9&10  
1, 39   , 27&28 , 25&26 , 23&24  
1, 40   , 23&24 , 25&26 , T3&T4  
2, 1    , 7&8 , 51&52 , 11&12  
2, 2    , 1&2 , T7&T8 , T3&T4  
2, 3    , 47&48 , 11&12 , T3&T4  
2, 4    , 21&22 , 9&10 , T7&T8  
2, 5    , T5&T6 , 23&24 , 1&2  
2, 6    , 15&16 , T1&T2 , 11&12  
2, 7    , 25&26 , 9&10 , 13&14  
2, 8    , T1&T2 , 49&50 , 13&14  
2, 9    , 5&6 , 27&28 , T1&T2  
2, 10   , 11&12 , 47&48 , 27&28  
2, 11   , 13&14 , T5&T6 , 7&8  
2, 12   , 13&14 , 11&12 , T7&T8  
2, 13   , 27&28 , T3&T4 , 47&48  
2, 14   , 45&46 , T7&T8 , 51&52  
2, 15   , 5&6 , 45&46 , 51&52  
2, 16   , 25&26 , 7&8 , 23&24  
2, 17   , 23&24 , 51&52 , 15&16  
2, 18   , 23&24 , 3&4 , T5&T6  
2, 19   , T3&T4 , 1&2 , 9&10  
2, 20   , T7&T8 , 23&24 , 49&50  
2, 21   , 21&22 , 13&14 , 3&4  
2, 22   , 3&4 , 15&16 , 7&8  
2, 23   , 3&4 , 15&16 , 25&26  
2, 24   , 51&52 , 25&26 , T1&T2  
2, 25   , 15&16 , 25&26 , 47&48  
2, 26   , 45&46 , T3&T4 , T5&T6  
2, 27   , T1&T2 , 21&22 , 5&6  
2, 28   , 9&10 , 45&46 , 15&16  
2, 29   , T3&T4 , 3&4 , 21&22  
2, 30   , 1&2 , 49&50 , 45&46  
2, 31   , 49&50 , 1&2 , 27&28  
2, 32   , 9&10 , 13&14 , 25&26  
2, 33   , 49&50 , 5&6 , 45&46  
2, 34   , 47&48 , 27&28 , 3&4  
2, 35   , T5&T6 , T1&T2 , 5&6  
2, 36   , 7&8 , 47&48 , 1&2  
2, 37   , 11&12 , 5&6 , 9&10  
2, 38   , 51&52 , 7&8 , 49&50  
2, 39   , T7&T8 , T5&T6 , 21&22  
2, 40   , 27&28 , 21&22 , 23&24  
3, 1    , 49&50 , T7&T8 , 45&46  
3, 2    , 3&4 , 13&14 , 25&26  
3, 3    , 1&2 , T1&T2 , 49&50  
3, 4    , 9&10 , 49&50 , 13&14  
3, 5    , 9&10 , 15&16 , 11&12  
3, 6    , T1&T2 , T3&T4 , 13&14  
3, 7    , T3&T4 , 15&16 , T7&T8  
3, 8    , 15&16 , 11&12 , 25&26  
3, 9    , 47&48 , 45&46 , 11&12  
3, 10   , 5&6 , 1&2 , 49&50  
3, 11   , 13&14 , 25&26 , 1&2  
3, 12   , 21&22 , 1&2 , 15&16  
3, 13   , 45&46 , T1&T2 , T5&T6  
3, 14   , 13&14 , 9&10 , 23&24  
3, 15   , T5&T6 , 5&6 , T3&T4  
3, 16   , T1&T2 , 51&52 , 5&6  
3, 17   , 11&12 , 3&4 , 15&16  
3, 18   , 51&52 , T5&T6 , T7&T8  
3, 19   , T3&T4 , 7&8 , 23&24  
3, 20   , 7&8 , 25&26 , T3&T4  
3, 21   , 25&26 , 51&52 , 47&48  
3, 22   , 3&4 , 49&50 , 21&22  
3, 23   , T7&T8 , 13&14 , T5&T6  
3, 24   , 27&28 , 11&12 , T1&T2  
3, 25   , 15&16 , 5&6 , 7&8  
3, 26   , T7&T8 , 47&48 , 45&46  
3, 27   , 27&28 , 23&24 , 21&22  
3, 28   , 45&46 , 9&10 , 27&28  
3, 29   , 1&2 , T3&T4 , 51&52  
3, 30   , 49&50 , 21&22 , 9&10  
3, 31   , 23&24 , 45&46 , 5&6  
3, 32   , 7&8 , 23&24 , 3&4  
3, 33   , 5&6 , T7&T8 , 3&4  
3, 34   , 21&22 , 3&4 , 51&52  
3, 35   , 23&24 , 27&28 , 47&48  
3, 36   , 47&48 , T5&T6 , T1&T2  
3, 37   , 25&26 , 27&28 , 7&8  
3, 38   , 11&12 , 47&48 , 1&2  
3, 39   , T5&T6 , 21&22 , 27&28  
3, 40   , 51&52 , 7&8 , 9&10  
4, 1    , 1&2 , 9&10 , 25&26  
4, 2    , T5&T6 , 15&16 , 49&50  
4, 3    , T3&T4 , 51&52 , 21&22  
4, 4    , 47&48 , 27&28 , 3&4  
4, 5    , 51&52 , 9&10 , 5&6  
4, 6    , 7&8 , 23&24 , 45&46  
4, 7    , 3&4 , 5&6 , 47&48  
4, 8    , 51&52 , 25&26 , 27&28  
4, 9    , 49&50 , 27&28 , T1&T2  
4, 10   , 45&46 , T3&T4 , 47&48  
4, 11   , 27&28 , T5&T6 , 25&26  
4, 12   , 23&24 , 3&4 , 9&10  
4, 13   , 21&22 , 15&16 , 13&14  
4, 14   , 15&16 , 49&50 , T5&T6  
4, 15   , 13&14 , T7&T8 , 51&52  
4, 16   , 11&12 , T1&T2 , 7&8  
4, 17   , 25&26 , 49&50 , 5&6  
4, 18   , 7&8 , T5&T6 , 1&2  
4, 19   , 5&6 , 13&14 , 11&12  
4, 20   , 13&14 , 23&24 , 1&2  
4, 21   , 27&28 , 11&12 , 9&10  
4, 22   , 25&26 , 21&22 , 11&12  
4, 23   , 1&2 , 11&12 , T5&T6  
4, 24   , T1&T2 , 7&8 , 13&14  
4, 25   , 49&50 , 21&22 , 3&4  
4, 26   , 3&4 , T1&T2 , 15&16  
4, 27   , 9&10 , 3&4 , 51&52  
4, 28   , T1&T2 , 1&2 , 21&22  
4, 29   , 47&48 , 45&46 , T7&T8  
4, 30   , 15&16 , 7&8 , T1&T2  
4, 31   , T5&T6 , 45&46 , 23&24  
4, 32   , T7&T8 , 13&14 , 27&28  
4, 33   , 5&6 , 1&2 , T7&T8  
4, 34   , 11&12 , T7&T8 , T3&T4  
4, 35   , 23&24 , 25&26 , 49&50  
4, 36   , 9&10 , 47&48 , 15&16  
4, 37   , T3&T4 , 5&6 , 45&46  
4, 38   , 45&46 , 51&52 , T3&T4  
4, 39   , 21&22 , 47&48 , 23&24  
4, 40   , T7&T8 , T3&T4 , 7&8  
5, 1    , 25&26 , T1&T2 , 13&14  
5, 2    , 23&24 , 45&46 , 3&4  
5, 3    , 9&10 , 3&4 , 7&8  
5, 4    , 1&2 , 9&10 , 15&16  
5, 5    , 13&14 , 15&16 , 9&10  
5, 6    , T5&T6 , 5&6 , 49&50  
5, 7    , 49&50 , 23&24 , 27&28  
5, 8    , 3&4 , 7&8 , 21&22  
5, 9    , 15&16 , 3&4 , 5&6  
5, 10   , 15&16 , 45&46 , 23&24  
5, 11   , 45&46 , 49&50 , 25&26  
5, 12   , 47&48 , 11&12 , 21&22  
5, 13   , 27&28 , T5&T6 , 49&50  
5, 14   , 21&22 , 25&26 , 9&10  
5, 15   , 11&12 , 1&2 , T3&T4  
5, 16   , 11&12 , T3&T4 , T7&T8  
5, 17   , 23&24 , 47&48 , 25&26  
5, 18   , 27&28 , 51&52 , 23&24  
5, 19   , 51&52 , 27&28 , 13&14  
5, 20   , T1&T2 , 27&28 , 15&16  
5, 21   , 7&8 , T5&T6 , 27&28  
5, 22   , 7&8 , 13&14 , 51&52  
5, 23   , 49&50 , 13&14 , T5&T6  
5, 24   , 13&14 , 23&24 , 45&46  
5, 25   , T7&T8 , 15&16 , 47&48  
5, 26   , 1&2 , 49&50 , T1&T2  
5, 27   , 9&10 , T7&T8 , 11&12  
5, 28   , T3&T4 , T1&T2 , 51&52  
5, 29   , 3&4 , T3&T4 , T1&T2  
5, 30   , 45&46 , 51&52 , T3&T4  
5, 31   , 5&6 , 25&26 , T7&T8  
5, 32   , 25&26 , 5&6 , 47&48  
5, 33   , T5&T6 , 47&48 , 1&2  
5, 34   , T3&T4 , 21&22 , 11&12  
5, 35   , 51&52 , 9&10 , 1&2  
5, 36   , 21&22 , 1&2 , 3&4  
5, 37   , T1&T2 , 21&22 , T5&T6  
5, 38   , T7&T8 , 7&8 , 5&6  
5, 39   , 47&48 , T7&T8 , 45&46  
5, 40   , 5&6 , 11&12 , 7&8  
6, 1    , 51&52 , T3&T4 , 7&8  
6, 2    , 23&24 , 1&2 , 1&2  
6, 3    , 49&50 , 1&2 , T3&T4  
6, 4    , 51&52 , 21&22 , T3&T4  
6, 5    , 7&8 , T7&T8 , 3&4  
6, 6    , 27&28 , 45&46 , T7&T8  
6, 7    , T3&T4 , 13&14 , 23&24  
6, 8    , 5&6 , 15&16 , 21&22  
6, 9    , 3&4 , 5&6 , 11&12  
6, 10   , T1&T2 , T7&T8 , 49&50  
6, 11   , 21&22 , 45&46 , 5&6  
6, 12   , 25&26 , 7&8 , 9&10  
6, 13   , 45&46 , 5&6 , 23&24  
6, 14   , T5&T6 , 15&16 , 51&52  
6, 15   , T3&T4 , T3&T4 , 21&22  
6, 16   , 49&50 , 3&4 , 9&10  
6, 17   , 13&14 , 49&50 , 27&28  
6, 18   , 23&24 , 51&52 , 45&46  
6, 19   , 47&48 , 11&12 , 27&28  
6, 20   , 15&16 , 9&10 , 1&2  
6, 21   , T7&T8 , 47&48 , T1&T2  
6, 22   , 27&28 , 23&24 , 11&12  
6, 23   , 47&48 , 51&52 , T7&T8  
6, 24   , 11&12 , 9&10 , 45&46  
6, 25   , T7&T8 , 11&12 , 13&14  
6, 26   , 3&4 , 27&28 , T5&T6  
6, 27   , 15&16 , T5&T6 , 7&8  
6, 28   , T1&T2 , 13&14 , T5&T6  
6, 29   , 25&26 , 47&48 , T1&T2  
6, 30   , 13&14 , T1&T2 , 49&50  
6, 31   , 1&2 , 7&8 , 3&4  
6, 32   , 7&8 , 3&4 , 25&26  
6, 33   , 5&6 , T5&T6 , 15&16  
6, 34   , 21&22 , 25&26 , 51&52  
6, 35   , 9&10 , 23&24 , 5&6  
6, 36   , 1&2 , 49&50 , 13&14  
6, 37   , 45&46 , T1&T2 , 25&26  
6, 38   , 9&10 , 21&22 , 47&48  
6, 39   , T5&T6 , 27&28 , 15&16  
6, 40   , 11&12 , 25&26 , 47&48  
7, 1    , 45&46 , 23&24 , 27&28  
7, 2    , 23&24 , 25&26 , 1&2  
7, 3    , 5&6 , 45&46 , 9&10  
7, 4    , 15&16 , T3&T4 , T7&T8  
7, 5    , 27&28 , 7&8 , 3&4  
7, 6    , 13&14 , 45&46 , 5&6  
7, 7    , 3&4 , T1&T2 , T3&T4  
7, 8    , 51&52 , 21&22 , 13&14  
7, 9    , T7&T8 , 15&16 , T3&T4  
7, 10   , 45&46 , T7&T8 , 47&48  
7, 11   , 27&28 , T5&T6 , 15&16  
7, 12   , T5&T6 , 23&24 , 11&12  
7, 13   , 47&48 , 1&2 , 21&22  
7, 14   , T1&T2 , 13&14 , 7&8  
7, 15   , 3&4 , 51&52 , 25&26  
7, 16   , 21&22 , 11&12 , 7&8  
7, 17   , 9&10 , 49&50 , 45&46  
7, 18   , T1&T2 , 11&12 , 9&10  
7, 19   , 5&6 , 3&4 , 51&52  
7, 20   , 47&48 , 27&28 , 13&14  
7, 21   , 7&8 , T7&T8 , 27&28  
7, 22   , 11&12 , 5&6 , T1&T2  
7, 23   , 25&26 , 15&16 , T7&T8  
7, 24   , 15&16 , 25&26 , 51&52  
7, 25   , 1&2 , 9&10 , 1&2  
7, 26   , 49&50 , 9&10 , T5&T6  
7, 27   , 13&14 , 1&2 , 49&50  
7, 28   , 21&22 , 13&14 , 5&6  
7, 29   , 9&10 , T5&T6 , 23&24  
7, 30   , 25&26 , 47&48 , 23&24  
7, 31   , T3&T4 , 51&52 , 45&46  
7, 32   , T3&T4 , T1&T2 , 47&48  
7, 33   , T5&T6 , T3&T4 , 15&16  
7, 34   , 49&50 , 7&8 , 21&22  
7, 35   , 1&2 , 27&28 , 25&26  
7, 36   , 7&8 , 47&48 , 11&12  
7, 37   , T7&T8 , 21&22 , T5&T6  
7, 38   , 11&12 , 3&4 , 49&50  
7, 39   , 51&52 , 49&50 , T1&T2  
7, 40   , 23&24 , 5&6 , 3&4  
